
==========================================================================================
Statistic                     N        Mean       St. Dev.        Min            Max      
LUCApartment-HD             20,579     0.032        0.175          0              1       
LUCApartment-LD             20,579     0.151        0.358          0              1       
LUCApartment-MD             20,579     0.171        0.377          0              1       
LUCBusiness                 20,579     0.036        0.187          0              1       
LUCOther                    20,579     0.119        0.324          0              1       
LUCResort                   20,579     0.028        0.164          0              1       
condAverage                 20,579     0.196        0.397          0              1       
condExcellent               20,579     0.313        0.464          0              1       
condAbove Average           20,579     0.449        0.497          0              1       
condFair                    20,579     0.042        0.200          0              1       
Parking0                    20,579     0.055        0.228          0              1       
Parking1                    20,579     0.260        0.438          0              1       
Parking2                    20,579     0.446        0.497          0              1       
Parking3                    20,579     0.064        0.245          0              1       
Parking4                    20,579     0.131        0.338          0              1       
Parking5 or More            20,579     0.044        0.206          0              1       
fld_zoneAE                  20,579     0.123        0.329          0              1       
fld_zoneA                   20,579     0.007        0.082          0              1       
fld_zoneAH                  20,579     0.002        0.043          0              1       
fld_zoneAO                  20,579     0.043        0.202          0              1       
fld_zoneD                   20,579     0.405        0.491          0              1       
fld_zoneVE                  20,579     0.009        0.095          0              1       
fld_zoneX                   20,579     0.412        0.492          0              1       
------------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    23,504     1.178        0.425          1             5       
Covid                       23,504     0.478        0.500          0             1       
Covid2                      23,504     0.429        0.495          0             1       
Cases                       11,242    316.539      574.305         0           4,021     
BathsFull                   23,504     1.493        0.555          0             6       
BathsHalf                   23,504     0.166        0.377          0             4       
BedsTotal                   23,504     1.790        0.919          0             8       
DOM                         23,504    45.145       61.313          0            946      
livSQFT                     23,504    877.055      391.938        120          10,740    
SQFTGarageCarport           23,504    24.773       93.800          0           1,380     
real.list.price             23,504  682,222.900  632,502.300  85,418.510   28,197,546.000
real.close.price            23,504  673,338.100  604,964.100  85,418.510   28,197,546.000
diff.price                  23,504   7,409.011   50,141.160    -300,000      4,750,000   
Basement                    23,504     0.001        0.036          0             1       
Split                       23,504     0.027        0.161          0             1       
PUD                         23,504     0.006        0.077          0             1       
LowRise                     23,504     0.165        0.371          0             1       
HighRise                    23,504     0.544        0.498          0             1       
Townhouse                   23,504     0.293        0.455          0             1       
Condotel                    23,504     0.067        0.250          0             1       
SingleFam                   23,504     0.002        0.050          0             1       
Duplex                      23,504     0.000        0.000          0             0       
MultiDwell                  23,504     0.000        0.000          0             0       
WalkUP                      23,504     0.081        0.272          0             1       
pool                        23,504    0.0001        0.011          0             1       
Age                         23,504    35.618       16.287          0             90      
Age2                        23,504     1.534        1.027        0.000         8.100     
Age.r                       23,504     1.455        4.035          0             57      
SqftTotal                   23,504    957.166      441.152        175          11,155    
par_area                    23,504     4.772        6.773        0.014        111.969    
beach                       23,504     1.697        2.214        0.000         12.788    
park                        23,504     0.337        0.267        0.000         2.165     
hospital                    23,504     3.094        3.436        0.015         20.403    
airport                     23,504     7.539        5.143        0.993         25.136    
elem_sch                    23,504     1.258        6.171        0.043        196.490    
mid_sch                     23,504     1.944        1.313        0.071         7.279     
high_sch                    23,504     1.795        1.194        0.034         6.804     
per_white                   23,504     0.271        0.187        0.000         0.828     
per_black                   23,504     0.022        0.035        0.000         0.241     
per_asian                   23,504     0.447        0.195        0.014         1.000     
per_hawaian                 23,504     0.057        0.085        0.000         0.640     
per_occupied                23,504     0.829        0.197        0.107         1.000     
per_vacant                  23,504     0.170        0.197        0.000         0.893     
per_owner                   23,504     0.577        0.192        0.028         0.985     
per_renter                  23,504     0.422        0.191        0.015         0.972     
HOA                         23,504    11.517       41.128          0           1,000     
Elevator                    23,504     1.308        1.894          0             36      
remod                       23,504     0.375        0.484          0             1       
lat                         23,504 2,359,549.000  6,873.481  2,351,113.000 2,400,056.000 
lon                         23,504  614,681.300  11,377.040   580,446.100   637,819.700  
PropertyTypeCondo_Townhouse 23,504     1.000        0.000          1             1       
PropertyTypeSingle Family   23,504     0.000        0.000          0             0       
StoriesOne                  23,504     0.259        0.438          0             1       
StoriesTwo                  23,504     0.196        0.397          0             1       
StoriesMulti                23,504     0.545        0.498          0             1       
year                        23,504   2,019.300      1.983        2,016         2,023     
LUCResidential              23,504     0.100        0.300          0             1       
LUCAgriculture              23,504     0.001        0.023          0             1       
LUCApartment-HD             23,504     0.056        0.229          0             1       
LUCApartment-LD             23,504     0.216        0.411          0             1       
LUCApartment-MD             23,504     0.290        0.454          0             1       
LUCBusiness                 23,504     0.070        0.255          0             1       
LUCOther                    23,504     0.210        0.407          0             1       
LUCResort                   23,504     0.058        0.233          0             1       
condAverage                 23,504     0.172        0.378          0             1       
condExcellent               23,504     0.365        0.482          0             1       
condAbove Average           23,504     0.439        0.496          0             1       
condFair                    23,504     0.023        0.151          0             1       
Parking0                    23,504     0.103        0.303          0             1       
Parking1                    23,504     0.456        0.498          0             1       
Parking2                    23,504     0.423        0.494          0             1       
Parking3                    23,504     0.009        0.095          0             1       
Parking4                    23,504     0.009        0.092          0             1       
Parking5 or More            23,504     0.001        0.034          0             1       
fld_zoneAE                  23,504     0.212        0.409          0             1       
fld_zoneA                   23,504     0.011        0.104          0             1       
fld_zoneAH                  23,504     0.001        0.024          0             1       
fld_zoneAO                  23,504     0.075        0.264          0             1       
fld_zoneD                   23,504     0.285        0.452          0             1       
fld_zoneVE                  23,504     0.008        0.090          0             1       
fld_zoneX                   23,504     0.407        0.491          0             1       
-----------------------------------------------------------------------------------------

=========================================================================================
Statistic                     N        Mean       St. Dev.        Min           Max      
-----------------------------------------------------------------------------------------
num_sale                    12,262     1.072        0.265          1             4       
Covid                       12,262     0.000        0.000          0             0       
Covid2                      12,262     0.002        0.040          0             1       
BathsFull                   12,262     1.487        0.556          0             4       
BathsHalf                   12,262     0.161        0.371          0             2       
BedsTotal                   12,262     1.776        0.914          0             5       
DOM                         12,262    50.196       59.254          0            785      
livSQFT                     12,262    876.532      390.728        160          6,273     
SQFTGarageCarport           12,262    19.170       82.547          0            942      
real.list.price             12,262  696,051.400  672,699.000  99,684.440   28,197,546.000
real.close.price            12,262  683,463.200  651,051.800  118,448.600  28,197,546.000
diff.price                  12,262  10,357.340   33,715.100    -152,000       750,000    
Basement                    12,262     0.001        0.031          0             1       
Split                       12,262     0.028        0.164          0             1       
PUD                         12,262     0.007        0.084          0             1       
LowRise                     12,262     0.170        0.376          0             1       
HighRise                    12,262     0.547        0.498          0             1       
Townhouse                   12,262     0.285        0.451          0             1       
Condotel                    12,262     0.070        0.256          0             1       
SingleFam                   12,262     0.003        0.053          0             1       
Duplex                      12,262     0.000        0.000          0             0       
MultiDwell                  12,262     0.000        0.000          0             0       
WalkUP                      12,262     0.083        0.275          0             1       
pool                        12,262    0.0002        0.013          0             1       
Age                         12,262    34.234       16.125          0             90      
Age2                        12,262     1.432        0.981        0.000         8.100     
Age.r                       12,262     1.375        3.829          0             57      
SqftTotal                   12,262    956.661      441.621        195          7,582     
par_area                    12,262     4.606        6.589        0.014         52.775    
beach                       12,262     1.680        2.228        0.000         12.788    
park                        12,262     0.328        0.256        0.012         1.753     
hospital                    12,262     2.964        3.267        0.015         20.403    
airport                     12,262     7.511        5.143        0.993         25.136    
elem_sch                    12,262     1.277        6.419        0.043        196.490    
mid_sch                     12,262     1.922        1.298        0.074         7.279     
high_sch                    12,262     1.778        1.182        0.034         6.804     
per_white                   12,262     0.274        0.194        0.000         0.828     
per_black                   12,262     0.021        0.035        0.000         0.241     
per_asian                   12,262     0.449        0.197        0.014         1.000     
per_hawaian                 12,262     0.056        0.084        0.000         0.640     
per_occupied                12,262     0.828        0.203        0.107         1.000     
per_vacant                  12,262     0.171        0.203        0.000         0.893     
per_owner                   12,262     0.579        0.188        0.060         0.985     
per_renter                  12,262     0.420        0.188        0.015         0.940     
HOA                         12,262    10.282       38.200          0            631      
Elevator                    12,262     1.360        1.936          0             36      
remod                       12,262     0.362        0.481          0             1       
